Round,Pick,Value,Tm,Year
1,1,3000,Las Vegas Raiders,2026
1,2,2600,New York Jets,2026
1,3,2200,Arizona Cardinals,2026
1,4,1800,Tennessee Titans,2026
1,5,1700,New York Giants,2026
1,6,1600,Cleveland Browns,2026
1,7,1500,Washington Commanders,2026
1,8,1400,New Orleans Saints,2026
1,9,1350,Kansas City Chiefs,2026
1,10,1300,Cincinnati Bengals,2026
1,11,1250,Miami Dolphins,2026
1,12,1200,Dallas Cowboys,2026
1,13,1150,Los Angeles Rams,2026
1,14,1100,Las Vegas Raiders,2026
1,15,1050,Tampa Bay Buccaneers,2026
1,16,1000,New York Jets,2026
1,17,950,Detroit Lions,2026
1,18,900,Minnesota Vikings,2026
1,19,875,Carolina Panthers,2026
1,20,850,Dallas Cowboys,2026
1,21,800,Pittsburgh Steelers,2026
1,22,780,Los Angeles Chargers,2026
1,23,760,Philadelphia Eagles,2026
1,24,740,Cleveland Browns,2026
1,25,720,Chicago Bears,2026
1,26,700,Buffalo Bills,2026
1,27,680,San Francisco 49ers,2026
1,28,660,Houston Texans,2026
1,29,640,Kansas City Chiefs,2026
1,30,620,Denver Broncos,2026
1,31,600,New England Patriots,2026
1,32,590,Seattle Seahawks,2026
2,33,580,New York Jets,2026
2,34,560,Arizona Cardinals,2026
2,35,550,Tennessee Titans,2026
2,36,540,Las Vegas Raiders,2026
2,37,530,New York Giants,2026
2,38,520,Houston Texans,2026
2,39,510,Cleveland Browns,2026
2,40,500,Kansas City Chiefs,2026
2,41,490,Cincinnati Bengals,2026
2,42,480,New Orleans Saints,2026
2,43,470,Miami Dolphins,2026
2,44,460,New York Jets,2026
2,45,450,Baltimore Ravens,2026
2,46,440,Tampa Bay Buccaneers,2026
2,47,430,Indianapolis Colts,2026
2,48,420,Atlanta Falcons,2026
2,49,410,Minnesota Vikings,2026
2,50,400,Detroit Lions,2026
2,51,390,Carolina Panthers,2026
2,52,380,Green Bay Packers,2026
2,53,370,Pittsburgh Steelers,2026
2,54,360,Philadelphia Eagles,2026
2,55,350,Los Angeles Chargers,2026
2,56,340,Jacksonville Jaguars,2026
2,57,330,Chicago Bears,2026
2,58,320,San Francisco 49ers,2026
2,59,310,Houston Texans,2026
2,60,300,Chicago Bears,2026
2,61,292,Los Angeles Rams,2026
2,62,284,Denver Broncos,2026
2,63,276,New England Patriots,2026
2,64,270,Seattle Seahawks,2026
3,65,265,Arizona Cardinals,2026
3,66,260,Tennessee Titans,2026
3,67,255,Las Vegas Raiders,2026
3,68,250,Philadelphia Eagles,2026
3,69,245,Houston Texans,2026
3,70,240,Cleveland Browns,2026
3,71,235,Washington Commanders,2026
3,72,230,Cincinnati Bengals,2026
3,73,225,New Orleans Saints,2026
3,74,220,Kansas City Chiefs,2026
3,75,215,Miami Dolphins,2026
3,76,210,Pittsburgh Steelers,2026
3,77,205,Tampa Bay Buccaneers,2026
3,78,200,Indianapolis Colts,2026
3,79,195,Atlanta Falcons,2026
3,80,190,Baltimore Ravens,2026
3,81,185,Jacksonville Jaguars,2026
3,82,180,Minnesota Vikings,2026
3,83,175,Carolina Panthers,2026
3,84,170,Green Bay Packers,2026
3,85,165,Pittsburgh Steelers,2026
3,86,160,Los Angeles Chargers,2026
3,87,155,Miami Dolphins,2026
3,88,150,Jacksonville Jaguars,2026
3,89,145,Chicago Bears,2026
3,90,140,Miami Dolphins,2026
3,91,136,Buffalo Bills,2026
3,92,132,San Francisco 49ers,2026
3,93,128,Los Angeles Rams,2026
3,94,124,Denver Broncos,2026
3,95,120,New England Patriots,2026
4,96,116,Seattle Seahawks,2026
4,97,112,Minnesota Vikings,2026
4,98,108,Philadelphia Eagles,2026
4,99,104,Pittsburgh Steelers,2026
4,100,100,Jacksonville Jaguars,2026
4,101,96,Tennessee Titans,2026
4,102,92,Las Vegas Raiders,2026
4,103,88,New York Jets,2026
4,104,86,Arizona Cardinals,2026
4,105,84,New York Giants,2026
4,106,82,Houston Texans,2026
4,107,80,Cleveland Browns,2026
4,108,78,Denver Broncos,2026
4,109,76,Kansas City Chiefs,2026
4,110,74,Cincinnati Bengals,2026
4,111,72,Miami Dolphins,2026
4,112,70,Dallas Cowboys,2026
4,113,68,Indianapolis Colts,2026
4,114,66,Atlanta Falcons,2026
4,115,64,Baltimore Ravens,2026
4,116,62,Tampa Bay Buccaneers,2026
4,117,60,Las Vegas Raiders,2026
4,118,58,Detroit Lions,2026
4,119,56,Carolina Panthers,2026
4,120,54,Green Bay Packers,2026
4,121,52,Pittsburgh Steelers,2026
4,122,50,Philadelphia Eagles,2026
4,123,49,Los Angeles Chargers,2026
4,124,48,Jacksonville Jaguars,2026
4,125,47,New England Patriots,2026
4,126,46,Buffalo Bills,2026
4,127,45,San Francisco 49ers,2026
5,128,44,Detroit Lions,2026
5,129,43,Chicago Bears,2026
5,130,42,Denver Broncos,2026
5,131,41,New England Patriots,2026
5,132,40,New Orleans Saints,2026
5,133,40,San Francisco 49ers,2026
5,134,39,Las Vegas Raiders,2026
5,135,39,Pittsburgh Steelers,2026
5,136,38,New Orleans Saints,2026
5,137,38,Philadelphia Eagles,2026
5,138,37,San Francisco 49ers,2026
5,139,37,San Francisco 49ers,2026
5,140,36,New York Jets,2026
5,141,36,Houston Texans,2026
5,142,35,Tennessee Titans,2026
5,143,35,Arizona Cardinals,2026
5,144,34,Tennessee Titans,2026
5,145,34,New York Giants,2026
5,146,33,Cleveland Browns,2026
5,147,33,Washington Commanders,2026
5,148,32,Kansas City Chiefs,2026
5,149,32,Cleveland Browns,2026
5,150,31,New Orleans Saints,2026
5,151,31,Miami Dolphins,2026
5,152,31,Dallas Cowboys,2026
5,153,30,Philadelphia Eagles,2026
5,154,30,Baltimore Ravens,2026
5,155,29,Tampa Bay Buccaneers,2026
5,156,29,Indianapolis Colts,2026
5,157,29,Detroit Lions,2026
5,158,28,Carolina Panthers,2026
5,159,28,Carolina Panthers,2026
5,160,27,Green Bay Packers,2026
6,161,27,Pittsburgh Steelers,2026
6,162,27,Baltimore Ravens,2026
6,163,26,Minnesota Vikings,2026
6,164,26,Jacksonville Jaguars,2026
6,165,25,Buffalo Bills,2026
6,166,25,Jacksonville Jaguars,2026
6,167,25,Houston Texans,2026
6,168,24,Buffalo Bills,2026
6,169,24,Kansas City Chiefs,2026
6,170,23,Denver Broncos,2026
6,171,23,New England Patriots,2026
6,172,23,New Orleans Saints,2026
6,173,22,Baltimore Ravens,2026
6,174,22,Baltimore Ravens,2026
6,175,21,Las Vegas Raiders,2026
6,176,21,Kansas City Chiefs,2026
6,177,21,Dallas Cowboys,2026
6,178,20,Philadelphia Eagles,2026
6,179,20,New York Jets,2026
6,180,19,Dallas Cowboys,2026
6,181,19,Detroit Lions,2026
6,182,19,Las Vegas Raiders,2026
6,183,18,Arizona Cardinals,2026
6,184,18,Tennessee Titans,2026
6,185,17,Las Vegas Raiders,2026
6,186,17,New York Giants,2026
6,187,17,Washington Commanders,2026
6,188,16,Detroit Lions,2026
6,189,16,Cincinnati Bengals,2026
6,190,15,New Orleans Saints,2026
6,191,15,New England Patriots,2026
6,192,15,New York Giants,2026
7,193,14,New York Giants,2026
7,194,14,New York Jets,2026
7,195,13,Tampa Bay Buccaneers,2026
7,196,13,Minnesota Vikings,2026
7,197,13,Atlanta Falcons,2026
7,198,12,Washington Commanders,2026
7,199,12,Cincinnati Bengals,2026
7,200,11,Carolina Panthers,2026
7,201,11,Green Bay Packers,2026
7,202,11,New England Patriots,2026
7,203,10,Jacksonville Jaguars,2026
7,204,10,Los Angeles Chargers,2026
7,205,9,Detroit Lions,2026
7,206,9,Cleveland Browns,2026
7,207,9,Los Angeles Rams,2026
7,208,8,New York Jets,2026
7,209,8,New England Patriots,2026
7,210,7,Kansas City Chiefs,2026
7,211,7,Baltimore Ravens,2026
7,212,7,New England Patriots,2026
7,213,6,Seattle Seahawks,2026
7,214,6,Pittsburgh Steelers,2026
7,215,5,Philadelphia Eagles,2026
7,216,5,Pittsburgh Steelers,2026
7,217,5,Arizona Cardinals,2026
7,218,4,New York Jets,2026
7,219,4,Las Vegas Raiders,2026
7,220,3,Buffalo Bills,2026
7,221,3,Dallas Cowboys,2026
7,222,3,Detroit Lions,2026
7,223,2,Washington Commanders,2026
7,224,2,Pittsburgh Steelers,2026